epoch,acc,loss,val_acc,val_loss
0,0.10253906,2.3438809141516685,0.10119629,2.2987638264894485
1,0.36309814,1.7845314182341099,0.30981445,1.9299467541277409
2,0.4850464,1.4318009484559298,0.42407227,1.6056295856833458
3,0.5519409,1.2770159225910902,0.47766113,1.5258007422089577
4,0.5928345,1.1493459083139896,0.47277832,1.7600646577775478
5,0.6256714,1.065298360772431,0.428833,2.1317437067627907
6,0.65148926,0.9895769199356437,0.4317627,2.1709700040519238
7,0.6779175,0.9195667281746864,0.46484375,2.344920553267002
8,0.69970703,0.8600353179499507,0.4901123,1.9714646972715855
9,0.715271,0.80648313742131,0.4609375,2.4771415814757347
10,0.73168945,0.7694000639021397,0.48547363,2.572866253554821
11,0.7446289,0.7314718179404736,0.5202637,1.9387104213237762
12,0.7541504,0.6906354958191514,0.45251465,2.7949841022491455
13,0.7640991,0.6644435226917267,0.5036621,2.356967069208622
14,0.7751465,0.6328213475644588,0.63720703,1.3814924471080303
15,0.7895508,0.6080693257972598,0.54663086,1.7666618488729
16,0.7913208,0.5930153741501272,0.5534668,1.8312599956989288
17,0.8063965,0.5630710306577384,0.5860596,2.1060960963368416
18,0.8071289,0.5526804300025105,0.5838623,1.884137462824583
19,0.81933594,0.520392460282892,0.60668945,1.3945624381303787
20,0.8197632,0.5121050244197249,0.5797119,1.8972954154014587
21,0.8314209,0.4798927423544228,0.6047363,1.7247447110712528
22,0.8404541,0.4526834483258426,0.69750977,1.2490622345358133
23,0.8491211,0.4304153472185135,0.6855469,1.253903053700924
24,0.8602295,0.40102488454431295,0.6566162,1.4041553102433681
25,0.8713989,0.37474151118658483,0.71276855,1.0993996635079384
26,0.87701416,0.35308045195415616,0.69836426,1.1537764053791761
27,0.88409424,0.3250762086827308,0.62597656,1.8788498118519783
28,0.8881836,0.30912552517838776,0.6768799,1.217738637700677
29,0.90631104,0.27516633179038763,0.7071533,1.0998249296098948
30,0.90448,0.26881126454100013,0.72998047,1.0136222317814827
31,0.91296387,0.24833733355626464,0.7351074,1.0260558798909187
32,0.92626953,0.2162560010328889,0.6907959,1.1788073368370533
33,0.9310913,0.2009214968420565,0.77685547,0.7719778139144182
34,0.94158936,0.17759776767343283,0.74328613,0.9480182100087404
35,0.9472046,0.159867504844442,0.7532959,0.8978002443909645
36,0.95062256,0.14762506820261478,0.76708984,0.8562592063099146
37,0.9562378,0.13135207223240286,0.80126953,0.7029616720974445
38,0.96539307,0.11290611536242068,0.77160645,0.817698510363698
39,0.96813965,0.10632451763376594,0.79797363,0.7315716780722141
