epoch,acc,loss,val_acc,val_loss
0,0.11230469,2.6456721909344196,0.10424805,2.4731043875217438
1,0.33776855,1.8622829485684633,0.2084961,2.104175314307213
2,0.47131348,1.4688739236444235,0.3659668,1.7730937153100967
3,0.54577637,1.275669014081359,0.5280762,1.3378319814801216
4,0.59887695,1.1260296255350113,0.5048828,1.6710234619677067
5,0.64556885,1.0024129329249263,0.45788574,2.311866506934166
6,0.6819458,0.904580288566649,0.5283203,2.015688616782427
7,0.7071533,0.8330741636455059,0.5548096,2.05377097427845
8,0.72180176,0.7843014113605022,0.56481934,1.8750715665519238
9,0.74468994,0.7288073981180787,0.564209,1.928920455276966
10,0.75408936,0.6985098859295249,0.56347656,2.4312942177057266
11,0.77526855,0.6423354856669903,0.47229004,3.134353995323181
12,0.78674316,0.6078851041384041,0.55493164,2.55184917896986
13,0.79333496,0.5780788767151535,0.5270996,3.0806637704372406
14,0.80126953,0.5602205879986286,0.56640625,2.932620830833912
15,0.81463623,0.5342890406027436,0.5831299,2.325590740889311
16,0.82006836,0.5146098239347339,0.6257324,2.232123076915741
17,0.8255005,0.49538427451625466,0.6241455,2.00015889108181
18,0.8324585,0.4811003739014268,0.5698242,2.83048465102911
19,0.83843994,0.44964133854955435,0.578125,2.6904252097010612
20,0.8470459,0.43692264147102833,0.6470947,1.8725128546357155
21,0.8567505,0.4121529934927821,0.586792,2.44679993391037
22,0.8753662,0.3515890254639089,0.7121582,1.3699226044118404
23,0.8913574,0.31022680806927383,0.69970703,1.538639735430479
24,0.90356445,0.27219816483557224,0.626709,2.0491707026958466
25,0.9173584,0.2356444306205958,0.72473145,1.2051381133496761
26,0.92852783,0.204662065487355,0.71972656,1.3564634397625923
27,0.94451904,0.16836188593879342,0.7211914,1.355051625519991
28,0.9472656,0.1473202189663425,0.72888184,1.2388387490063906
29,0.95422363,0.13295978924725205,0.7553711,1.1263063494116068
30,0.9640503,0.10635985841508955,0.75891113,1.0819677878171206
31,0.97021484,0.09011973417364061,0.7558594,1.1543849650770426
32,0.97698975,0.06859288545092568,0.7730713,0.9823504965752363
33,0.9813843,0.05831738136475906,0.7702637,1.0066960379481316
34,0.9863281,0.044639837578870356,0.79467773,0.9039263911545277
35,0.9897461,0.033370388598996215,0.78881836,0.956743897870183
36,0.9908447,0.031244599478668533,0.7889404,0.9560349322855473
37,0.9920654,0.027636074853944592,0.78466797,1.0294375531375408
38,0.9942627,0.022921218420378864,0.7803955,1.065918192267418
39,0.9942627,0.0216472581596463,0.7850342,1.0296486243605614
