epoch,acc,loss,val_acc,val_loss
0,0.12921143,2.5073117092251778,0.12695312,2.3039737194776535
1,0.36816406,1.7254737503826618,0.18664551,2.212517626583576
2,0.49395752,1.4039726424962282,0.31054688,1.9481057785451412
3,0.5578003,1.2401770651340485,0.45922852,1.4815638214349747
4,0.59936523,1.1238774107769132,0.52282715,1.3636017367243767
5,0.6326904,1.0334900002926588,0.4383545,1.998001080006361
6,0.6571045,0.9621788952499628,0.46618652,2.1462072990834713
7,0.69036865,0.8890037136152387,0.46484375,2.239537764340639
8,0.7084961,0.8337287837639451,0.5673828,1.6341846473515034
9,0.7211304,0.798599555157125,0.47045898,2.7660087272524834
10,0.7318115,0.7581421136856079,0.5456543,2.405515544116497
11,0.74554443,0.7254528217017651,0.4588623,3.887282595038414
12,0.7484131,0.7099509593099356,0.53393555,2.114592805504799
13,0.7601929,0.6785143660381436,0.61608887,1.6993727125227451
14,0.7719116,0.6490074638277292,0.48547363,2.416148602962494
15,0.77667236,0.6362707344815135,0.6101074,1.7051126137375832
16,0.7808838,0.6195738450624049,0.63964844,1.549555454403162
17,0.7861328,0.6028557708486915,0.5107422,2.5943926721811295
18,0.7929077,0.5856075398623943,0.63879395,1.6122350096702576
19,0.8015137,0.5568154533393681,0.678833,1.3565919250249863
20,0.8105469,0.544364791829139,0.5649414,2.201742250472307
21,0.8206787,0.5113520468585193,0.6713867,1.3853092044591904
22,0.82928467,0.48377370461821556,0.58447266,2.134690549224615
23,0.8387451,0.45277302898466587,0.7318115,1.0399195309728384
24,0.84625244,0.42987564438953996,0.67907715,1.2645075768232346
25,0.86053467,0.3926764829084277,0.6999512,1.1617076490074396
26,0.86779785,0.3671472743153572,0.69384766,1.2965525761246681
27,0.88220215,0.3361875042319298,0.7294922,1.0148163605481386
28,0.89105225,0.307599293300882,0.7684326,0.8425026126205921
29,0.90008545,0.28147472930140793,0.765625,0.848068255931139
30,0.90582275,0.26456476422026753,0.73986816,1.0088667143136263
31,0.91864014,0.2344401078298688,0.7451172,0.9671223778277636
32,0.9193115,0.22468785126693547,0.74365234,1.0069802273064852
33,0.9298096,0.2021495569497347,0.7675781,0.8936921264976263
34,0.93865967,0.17536389490123838,0.75634766,0.9828326776623726
35,0.9448242,0.15560918510891497,0.78796387,0.7925185803323984
36,0.95458984,0.1415661150822416,0.7937012,0.7517823930829763
37,0.95788574,0.128990818397142,0.78637695,0.8263126816600561
38,0.9608154,0.11828122683800757,0.7894287,0.8333262521773577
39,0.9685669,0.10253738122992218,0.78808594,0.8323937617242336
